penulis,judul,tahun,deskripsi,tautan,kata_kunci
syarif hidayatullah,pengembangan prototype smart home menggunakan konsep internet of things berbasis wemos d1,2021,"Internet of Things (IoT) adalah sebuah konsep yang memanfaatkan
konektifitas internet untuk membentuk komunikasi antar object atau perangkat.
Sedangkan Smart Home atau yang lebih dikenal dengan rumah pintar adalah rumah
yang menerapkan konsep Internet of Thing didalamnya, dimana rumah dapat
meniru kebiasaan penghuninya, seperti menghidupkan lampu ketika petang,
menghidupkan kipas/AC pada waktu panas dan sebagainya. Selain membuat efisien
suatu pekerjaan sistem ini juga dapat mengurangi penggunaan daya listrik dan juga
dapat meningkatkan keamanan rumah. Pada penelitian ini sistem
diimplementasikan pada miniatur rumah yang mempunyai 6 lampu yang 2
diantaranya diberi sensor cahaya guna mematikan dan menghidupkan lampu sesuai
kondisi cahaya. 1 jendela 1 pintu yang masing-masing diberi sensor magnetic guna
memberikan informasi jika pintu telah terbuka dengan bunyi alarm beserta
notifikasi via Telegram. Kipas dengan sensor suhu dan sensor PIR guna untuk
mematikan dan menghidupkan kipas sesuai kondisi suhu dan pacaran sinar infra
merah pada ruangan. Dari hasil penelitian diatas dapat diperoleh penghematan
yakni 1,752 kWh dalam pengujian 30 hari menggunakan sistem dan tidak. Rata-
rata respons Prototype Smart Home adalah 4 detik, rata-rata waktu respons sensor
adalah 3,6 detik, sedangkan rata-rata pengiriman notifikasi adalah 8,12 detik.",https://drive.google.com/file/d/1469DOqmihAnRpmvGjE5i34c2qQeD6jTr/view?usp=sharing,"internet of things, smart home, keamanan rumah, penghematan penggunaan daya listrik."
hanum hilyatul husna,"analisa data nasabah deposito menggunakan algoritma random forest berbasis website
studi kasus bmt ugt sidogiri cabang glenmore",2021,"Investasi merupakan salah satu cara untuk mengembangkan jumlah harta
yang sedang dimiliki saat ini. Salah satu investasi yang aman adalah deposito
atau nama lainnya simpanan berjangka pada BMT (Baitul Maal wa Tamwil) atau
non-bank. Dengan investasi yang memiliki resiko sangat rendah banyak nasabah
menggemari investasi ini, untuk keuntungan pada masa depan. Marketing
Funding merupakan salah satu jabatan pekerjaan di sebuah bank yang memiliki
tugas untuk memasarkan atau menawarkan suatu produk dari bank yang
bersangkutan, termasuk menawarkan produk deposito. Maka karyawan pada
bagian marketing ini memerlukan strategi untuk mengetahui target nasabah
seperti apa yang berpotensi menjadi pelanggan deposito berjangka dengan
melihat data-data dari nasabah. Pengelolaan data yang luas dan sangat besar bisa
diatasi dengan menggunakan data mining. Metode klasifikasi data mining salah
satu satunya adalah random forest. Random Forest merupakan penggabungan
tree dengan melakukan training pada sampel data yang dimiliki. Penulis
berharap dapat membantu marketing bank untuk memilah calon nasabah
deposito agar tepat sasaran, dan penulis juga memberikan sebuah aplikasi untuk
memudahkan dalam pengambilan keputusan dengan melihat pertimbangan dari
aplikasi tersebut. Hasil dari perhitungan random forest di dapatkan nilai akurasi
sebesar 82,61% dan presisi 90%.",https://drive.google.com/file/d/1Z8EtXXBn_lXhYorcELMta2xjcxf7tgpL/view?usp=sharing,"deposito, marketing, data mining, random forest."
andri heriyanto,penerapan metode k-nearest neighbor (knn) untuk klasifikasi stunting pada balita,2021,"Stunting merupakan salah satu permasalahan gizi yang terjadi di
Indonesia. Stunting adalah status gizi yang didasarkan pada indekx Tinggi Badan
menurut Umur (TB/U) Malnutrisi kronis selama pertumbuhan dan perkembangan
awal digambarkan oleh stunting dari z-skor tinggi badan untuk usia (TB/U)
kurang dari -2 standar deviasi (SD) berdasarkan standar pertumbuhan WHO. Pada
penetian ini peneliti ingin mebuktikan bahwa menentukan balita stunting
menggunakan algoritma klasifikasi K-Nearest Neighbor bisa digunakan, dengan
mencari kelompok k objek dalam data training yang paling dekat (mirip) dengan
objek pada data baru atau data testing Tujuan dari penelitia ini yaitu untuk
Mengukur tingkat akurasi, presisi dan recall tertinggi dari hasil klasifikasi metode
K- Nearest Neighbor terhadap data balita Stunting.
Skenario pengujian pada penelitian ini menggunakan cross validation
dengan nilai k-fold yaitu 2, 4, 5 dan 10 dengan total data 200 balita Stunting dan
pada Nearest neighbor menggunakan nilai k yaitu 3, 5, 7 dan 9. Nilai akurasi
tertinggi yang diperoleh metode K- nearest Neighbor adalah 95,00% pada fold
10 skenario 6, dengan k=3 presisi 100% dan recall 90 % positive class severe
stunting.",https://drive.google.com/file/d/1afwR6Yy8owZ6y3ua82pP1Q75p1TdWURi/view?usp=sharing,"stunting, k- nearest neighbor, cross validation, akurasi, presisi, recall."
umi nur hidayah,analisis metode k nearest neighbor terhadap klasifikasi data pasien penderita gagal jantung,2021,"Penelitian ini menjelaskan penggunakan metode K Nearest Neighbor
terhadap klasifikasi data pasien penderita gagal jantung. Dalam penelitian ini
dilakukan beberapa tahapan dan metode. Pada tahapan preprocessing penelitian
ini menggunakan metode MinMax Scaler untuk normalisasi serta metode LogX
untuk mengurangi tingkat skewness dan outlier. Pada tahap skenario uji dalam
penelitian ini menggunakan metode Cross Fold Validation dengan nilai k = 3, 5, 7
dan 9 dan sebagai pembeda dalam penelitian ini dilakukan dua proses yang
berbeda yaitu proses implementasi K-NN menggunakan Teknik SMOTE
sebelumnya dan implementasi K-NN tanpa Teknik SMOTE. Pada pengukuran
hasil klasifikasi berfokus pada tingkat akurasi dan presisi. Dalam penelitian ini
data yang digunakan berjumlah 299 pasien yang berasal dari UCI Machine
Learning. Pengukuran jarak pada K-NN dalam penelitian ini menggunakan vector
Euclidean Distance dengan nilai ketetanggan 3, 5, 7 dan 9. Dari implementasi
yang dilakukan diperoleh hasil yaitu klasifikasi K Nearest Neighbor terhadap data
pasien gagal jantung tanpa SMOTE diperoleh hasil validasi terbaik terdapat pada
Nearest Neighbor k = 9 dengan rata-rata akurasi sebesar 71.59% dan akurasi
tertinggi yaitu sebesar 83.33% pada fold kedua. Sedangkan pada data uji akurasi
tertinggi diperoleh pada Nearest Neighbor k = 3 dengan nilai akurasi 71.66%.
klasifikasi K Nearest Neighbor terhadap data pasien gagal jantung dengan
menggunakan SMOTE diperoleh hasil validasi terbaik terdapat pada Nearest
Neighbor k = 3 dengan rata-rata akurasi sebesar 87.88% dengan akurasi tertinggi
yaitu sebesar 80.14% pada fold keenam dan delapan. Sedangkan pada data uji
akurasi tertinggi diperoleh pada Nearest Neighbor k = 3 dengan nilai akurasi
63.33%.",https://drive.google.com/file/d/11edfpqXZVi7GM_8nL7nrRIJ64UVdGoEg/view?usp=sharing,"klasifikasi, k-nn, gagal jantung, smote, cross fold validation."
moch solehuddin al ayubi hilhami,"forecasting harga saham pt. astra agro lestaridengan metode simple moving average
dan weighted moving average",2021,"Saham merupakan tanda penyertaan modal sepihak atau seorang dalam
sebuah perusahaan. Seperti di PT Astra Agro Lestari yang hingga saat ini
kepemilikan publik diperkirakan mencapai 20,32% dari keseluruhan sebanyak
1,925 miliar saham yang beredar. Sebelum memutuskan untuk membeli saham
milik perusahaan, investor akan melihat perubahan harga saham dari waktu ke
waktu. Setiap hari, harga saham perusahaan terus mengalami perubahan hingga
begitu sulit untuk diprediksi. Karena pergerakan harga saham adalah hal yang
sulit untuk diprediksi, maka diperlukan peramalan dengan model matematis yang
dapat membantu para investor untuk memprediksi arah trend harga saham dalam
kegiatan investasi. Diantaranya menggunakan metode Simple Moving Average 5
harian dan metode Weighted Moving Average 5 harian. Hasil pengujian dari 242
data harga saham harian PT Astra Agro Lestari melalui tools POM-QM V4
didapatkan bahwa forecasting harga saham menggunakan metode Simple Moving
Average 5 harian terdapat nilai kesalahan rata-rata MAD 361,679, MSE 247089,9
dan MAPE sebesar 4,34% sedangkan metode Weighted Moving Average 5 harian
memiliki rata-rata kesalahan yang lebih kecil dengan nilai MAD 307,6145, MSE
180254,2 dan MAPE sebesar 3,64%.",https://drive.google.com/file/d/1CWuoOU-WM2s0zPa6Wm_7bZkdi5531FvV/view?usp=sharing,"simple moving average, weighted moving average, harga saham."
gilang trisetya indrawan,diagnosis covid-19 berdasarkan citra x-ray paru-paru menggunakan metode convolutional neural network,2021,"12 Maret 2020, WHO mengumumkan kasus misterius pneumonia di Wuhan yang
diberi nama COVID-19 sebagai pandemik. Salah satu cara untuk mendiagnosis
COVID-19 adalah dengan menganalisis citra X-ray paru-paru. Ahli medis,
menganalisis visual citra X-ray paru-paru harus secara teliti dan tepat, guna
menentukan apakah pasien benar-benar terjangkit COVID-19. Namun
menganalisis citra X-ray paru-paru membutuhkan proses yang cukup memakan
waktu, maka dari itu dibutuhkan teknologi yang dapat dengan cepat mendiagnosis
penyakit tersebut. Convolutional Neural Network (CNN) merupakan salah satu
pengembangan algoritma Multilayer Perceptron (MLP) yang dirancang untuk
mengidentifikasi berbagai pola gambar dari berbagai sisi. Model CNN yang
dibangun pada penelitian ini memiliki 40 convolution layer dengan fungsi aktivasi
ReLU, Batch Normalization, dan 5 max-pooling layer. Layer klasifikasi model
CNN yang dibangun menerapkan global average pooling yang menghasilkan 512
neuron yang langsung terhubung ke layer terakhir dengan fungsi softmax. Akurasi
dari hasil model CNN yang dibangun berhasil mencapai keseluruhan akurasi
92,14% yang diuji menggunakan 318 data citra. Kesimpulan dari penelitian ini
algoritma Convolutional Neural Network (CNN) yang dibangun relatif mampu
mendiagnosis penyakit COVID-19 berdasarkan citra X-ray paru-paru dan tingkat
keefektivitas model mendiagnosis penyakit COVID-19 lebih rendah dibanding
mendiagnosis penyakit yang tidak terjangkit COVID-19.",https://drive.google.com/file/d/1lVN7-zls8vqoidO1mmn8vtvcRG4ZusRI/view?usp=sharing,"convolutional neural network, covid-19, diagnosis."
miftahul khoir,"sistem pendukung keputusan pemilihan calon penerima beasiswa di akademi kebidanan jember dengan
metode elimination et choix traduisant la realite (electre)",2021,"Metode Elimination Et Choix Traduisant La Realite (ELECTRE) merupakan
salah satu metode yang efektif untuk Multi Attribute Decision Making (MADM)
dengan fitur kualitatif dan kuantitatif. Metode ELECTRE digunakan dalam
penentuan calon penerima beasiswa agar program beasiswa tersebut tepat sasaran
dan lebih adil melalui perangkingan alternatif-alternatif terbaik berdasarkan
kriteria-kriteria yang telah ditentukan yaitu Pendapatan Orang Tua (Wali), Jumlah
Saudara, Indeks Prestasi, dan Catatan Khusus.
Sistem Pendukung Keputusan Penentuan Pemilihan Calon Penerima Beasiswa
menggunakan metode ELECTRE pada Akademi Kebidanan ini dapat membantu
pihak Yayasan dalam menentukan siswa penerima beasiswa dengan mengambil
nilai tertinggi dari hasil perangkingan.
Berdasarkan pengujian dengan sistem aplikasi yang menggunakan Metode
Electre dan Manual, menunjukkan bahwa hasil keduanya terdapat kesamaan di 5
peringkat teratas. Perbedaan peringkat di bawahnya dikarenakan adanya penilaian
subjektif dari tim pemilihan dan juga kelengkapan administrasi yang diserahkan
oleh calon penerima beasiswa.",https://drive.google.com/file/d/1fnpORXyulJmcXJ6zPI47nkK2Gyw1svnb/view?usp=sharing,"metode elimination et choix traduisant la realite, electre, beasiswa, sistem pendukung keputusan."
yuliasih kripsiandita,deteksi gangguan autis pada anak menggunakan metode modified k-nearest neighbor,2021,"Autism Spectrume Disorder merupakan gangguan perkembangan dimana
seorang anak memperlihatkan suatu perilaku menjauhkan diri dari lingkungan
sosialnya, seakan – akan hidup di dunianya sendiri. Jenis gangguan Autistic
Disorder merupakan ketidakmampuan untuk memahami permasalahan dari sudut
pandang orang lain dan tidak mampu menafsirkan emosi. Mengetahui anak
menderita autisme sejak dini sangatlah penting, karena semakin dini autisme diobati
maka semakin besar peluang untuk sembuh. Dengan memanfaatkan perkembangan
teknologi, pendeteksian gejala autisme dapat dilakukan lebih awal menggunakan
sistem deteksi autis berbasis web. Metode Modified K-Nearest Neighbor
merupakan pengembangan dari metode konvensional K-Nearest Neighbor. Tujuan
dari penelitian ini untuk mencari K optimal dan mengukur tingkat akurasi, presisi
dan recall pada metode Modified K-Nearest Neighbor. Deteksi Autis pada Anak
menggunakan metode Modified K-Nearest Neighbor dengan data yang digunakan
diambil dari website UCI Machine Learning Repository, dengan jumlah data 292
data dan 2 class output. Pengujian dilakukan dengan mencari kedekatan dari setiap
data training untuk menentukan nilai validitas, setelah itu mencari kedekatan dari
data training dan data testing untuk menghitung weight voting, setelah
mendapatkan hasil dari weight voting akan dicari mayoritas datanya. Berdasarkan
Hasil pengujian yang telah dilakukan didapatkan hasil akurasi tertinggi sebesar
96,67%, hasil presisi tertinggi sebesar 97,33%, dan hasil recall tertinggi sebesar
100% pada K = 13. Untuk K optimal dari pengujian ini ditunjukkan pada K = 3.",https://drive.google.com/file/d/1B6SP9P0FGVtRjVb6m6BOevCwq6Oqx-OO/view?usp=sharing,"deteksi autisme, klasifikasi, metode modified k-nearest neighbor."
eko kurniawan,"sistem pakar diagnosa hama dan penyakit tanamankedelai edamame menggunakan metode euclidean
probability berbasis web",2021,"Kedelai edamame merupakan salah satu komoditas penting di Indonesia.
Menurut data BPS (2018), jumlah produksi kedelai Indonesia (khususnya Jawa
Timur) menurun, yaitu pada tahun 2015 mencapai 344.998 ton, kemudian pada
tahun 2016 mencapai 274.317 ton dan pada tahun 2017 mencapai 200.916 ton.
Salah satu faktor yang menyebabkan penurunan produksi adalah kurangnya tenaga
kerja yang mengerti dalam mengatasi permasalahan gangguan hama dan penyakit.
Oleh karena itu diperlukan suatu sistem pakar yang bisa membantu memberikan
solusi dalam menyelesaikan permasalahan hama penyakit pada tanaman kedelai
edamame khususnya di Indonesia. Sistem ini dirancang dengan menggunakan
metode Euclidean Probability yang berfungsi untuk mencari nilai persentase
kemungkinan atau probabilitas hama penyakit yang menyerang tanaman tersebut.
Dari hasil pengujian sistem, dapat diperoleh bahwa metode euclidean probability
memiliki tingkat presisi dengan nilai rata-rata sebesar 95%. Dan terdapat 1
penyakit yang memiliki nilai persentase paling rendah yaitu dalam diagnosa hama
Ulat Grayak dengan nilai 60%. Sedangkan tingkat akurasi sistem memiliki
persentase sebesar 96 % yang membuktikan bahwa sistem memiliki keberhasilan
tingkat akurasi yang cukup baik sesuai dengan diagnosa pakar.",https://drive.google.com/file/d/1SvY92eS2Mu6q8ynMLn86GfA5Vgq96PyS/view?usp=sharing,"sistem pakar, euclidean probability, hama dan penyakit, edamame."
dyah ayu kusumaningrum,"implementasi metode asosiasi dengan menggunakan algoritma equivalence class tranformation (eclat) 
pada pola pembelian konsumen untuk rekomendasi peletakan rak barang",2021,"Toko Delima jaya merupakan toko yang bergerak di bidang kebutuhan rumah tangga.
Toko Delima jaya ini memiliki kendala dari tata letak penempatan barang-barang yang masih
acak, sehingga masih belum memahami kebutuhan yang diinginkan oleh pembeli, oleh sebab itu
digunakanlah teknologi data mining untuk alternative rekomendasi pembentukan aturan asosiasi
pengelompokan barang pada rak barang. Penelitian ini menggunakan pendekatan asosiasi yaitu
algoritma Eclat . Dari bermacam-macam pengujian terdapat min Support dan min Confidence
untuk rekomendasi peletakan barang. Hasil dari penelitian ini ditemukan aturan untuk
rekomendasi dengan nilai lift Ratio 2.05 yaitu pada parameter minimum support 6%,7% dan 8%
dan minimum confidence 40% sampai dengan 50%. Dengan memperhatikan hubungan support,
confidence dan lift ratio pemilik toko delima jaya dapat menyediakan dan mengatur ulang tata
letak rak barang.",https://drive.google.com/file/d/1hh1b7pveRZ3Rw9nqeTSL3xMYvZhk46E9/view?usp=sharing,"toko delima jaya, asosiasi, algoritma eclat."
lutvi lestari,"penerapan algoritma fp-growth untuk menganalisa pola pembelian konsumen  pada data transaksi 
penjualan toko delima jaya",2021,"Toko Delima Jaya merupakan sebuah toko yang berada di bidang penjualan
barang seperti kosmetik dan peralatan rumah tangga. Permasalahan yang terjadi pada
toko Delima Jaya yaitu terjadinya kekurangan di suatu produk dan kelebihan di
produk yang lain, oleh sebab itu toko harus mencari keputusan dengan melihat
produk yang penjualan paling tinggi untuk mengelola barang yang dijual secara
optimal, agar karyawan dapat melayani konsumen dengan mudah sesuai pola
pembelian konsumen. Dengan metode association rule dapat membantu toko untuk
mengetahui berapa rule yang dihasilkan dengan menggunakan batasan minimum
support dan minimum confidence untuk rekomendasi produk. Algoritma FP-Growth
merupakan algoritma yang efektif dalam pencarian frequent itemset dalam sebuah
kumpulan data dengan membangkitan struktur FP-Tree. Hasil perhitungan dari 623
data transaksi penjualan pada tahun 2020 dengan minimum support 5%, 10%, 20%
dan minimum confidence 10%, 15%, 20%. Ditemukan 9 rule pada minimum support
5% dan minimum confidence 10%, sedangkan ditemukan 3 rule pada minimum
support 10% dan minimum confidence 15%, dan ditemukan 3 rule pada minimum
support 10% dan minimum confidence 20%. Sedangkan rule tidak ditemukan pada
minimum support 20% dan minimum confidence 20% di karenakan item yang
memenuhi minimum support 20% hanya 3 item.",https://drive.google.com/file/d/1Ts-X0cOPXXqu8QJQc8pq0AZALg6rqw7J/view?usp=sharing,"rekomendasi produk, association rule, algoritma fp-growth."
riska nur maulida,"mapping respon publik terhadap kebijakan gubernur dki jakarta dalam penanganan covid-19 
dengan teknikanalysis sentiment menggunakan support vector machine",2021,"Sejak wabah virus corona atau biasa disebut COVID-19 merebak ke seluruh dunia
terumata di Indonesia, Gubernur DKI Jakarta mengeluarkan beberapa kebijakan
menangani penyebaran COVID-19. Namun kebijakan tersebut menjadi
perbincangan di media sosial seperti Youtube. Melalui interaksi penonton pada
kolom komentar banyak yang memberikan komentar bersentimen positif maupun
negatif maka dilakukan klasifikasi respon penonton dengan teknik sentiment
analysis komentar untuk mengetahui sentimen mana yang termasuk positif, negatif
dan netral dari setiap komentar. Pada penelitian ini data diambil dari komentar
video berita. Metode yang digunakan adalah Support Vector Machine dan fitur
seleksi Term Frequency-Inverse Document Frequency (TF-IDF). Data yang
digunakan berjumlah 945 data komentar berbahasa Indonesia dengan perbandingan
80% data training dan 20% data testing. Hasil akurasi terbaik diperoleh dengan
menggunakan tambahan stoplist pada tahap preprocessing setelah dilakukan
optimasi parameter kernel RBF nilai akurasi sebesar 64%, nilai precision 63%, nilai
recall 58,33%, dan nilai F1 Score 58.33%.",https://drive.google.com/file/d/1MfSO7DNFs_6YK50JaVKrXyPBSzp4bm4k/view?usp=sharing,"youtube, sentiment analysis, tf-idf, support vector machine."
iradatul maulidah,"perbandingan algoritma k-nearest neighbor (k-nn) dan id3 untuk prediksi kelulusan mahasiswa fakultas teknik
universitas muhammadiyah jember",2021,"Perguruan tinggi adalah suatu pendidikan yang lebih tinggi dari jenjang pendidikan
menengah di dalam susunan pendidikan sekolah. Pendidikan tinggi memegang peranan
penting dalam membentuk sumber daya manusia yang berkualitas dan siap
menghadapi era persaingan global, oleh karena itu, peningkatan mutu pendidikan
tinggi sangat diperlukan, untuk memenuhi standar kemahiran lulusan bagi mahasiswa
program sarjana (S1), beban yang dipersyaratkan minimal harus 144.160 satuan kredit
semester (sks). Masa studi untuk mahasiswa sarjana (S1) biasanya 8 semester atau 4
tahun, tergantung program studinya. Namun tidak sedikit mahasiswa yang melebihi
standar kelulusan yang diharapkan selama masa studi, untuk itu maka tujuan dalam
penelitian ini adalah perbandingan algoritma K-Nearest Neighbor (KNN) dan ID3
dalam prediksi kelulusan mahasiswa dengan mengetahui tingkat Accuracy, recall, dan
precision. Langkah-langkah yang akan dilakukan untuk menyelesaikan permasalahan
yang akan digunakan dengan kerangka kerja dimulai dengan Studi Literature,
Pengumpulan data, Praproses data, Eksperimen dan pengujian algoritma, Evaluasi dan
Validasi hasil. Setelah dilakukan penelitian menggunakan kedua algoritma tersebut,
hasil yang didapat dari penelitian ini adalah pada algoritma K-Nearest Neighbor (K-
NN) dengan Accuracy sebesar 91.66%, Recall sebesar 96.66% dan Precision sebesar
87.87%. Pada algoritma ID3 (Iterative Dichotomiser 3) didapatkan hasil Accuracy
sebesar 93.33%, Recall sebesar 93.93% dan Precision sebesar 93.93%. Sehingga
berdasarkan penelitian tersebut menunjukkan bahwa algoritma ID3 (Iterative
Dichotomiser 3) mempunyai Accuracy lebih baik bila dibandingkan dengan algoritma
K-Nearest Neighbor (K-NN) dalam memprediksi Kelulusan Mahasiswa.",https://drive.google.com/file/d/1bgd9S7dDW9z_jmK7YeMGyLtUqv1fWTI_/view?usp=sharing,"mahasiswa, k-nearest neighbor, id3."
ayu merlinda,clustering provinsi di indonesia berdasarkan produktivitas pangan dengan algoritma fuzzy c-means ,2021,"Luas lahan sawah di Indonesia semakin sempit dengan maraknya pembangunan
perumahan dan gedung-gedung. Hal ini berakibat pada ketersediaan produksi pangan
yang semakin rendah dan sebagai bahan evaluasi untuk meningkatkan produksi dan
produktivitas pangan di Indonesia. Seiring dengan meningkatnya pembangunan
nasional terutama dalam memenuhi kebutuhan pangan maka permintaan bahan pangan
pun meningkat, mengingat sumber daya alam yang besar pada sektor pertanian maka
di masa mendatang sektor ini masih merupakan sektor penting dalam memberikan
kontribusi pada pertumbuhan ekonomi nasional . Dalam hal ini diperlukan suatu
metode pengelompokan data terhadap hasil panen berdasarkan Produktivitas Pangan,
salah satu algoritma clustering yang dapat digunakan adalah Fuzzy C-Means (FCM).
Data yang digunakan yaitu data Produktivitas Pangan tahun 2016 di 34 Provinsi di
Indonesia. Dari serangkaian pengujian dimulai dari 2 cluster hingga 10 cluster,
dihasilkan cluster optimum yang berada pada 9 cluster berdasarkan nilai terendah yang
dihitung dengan metode Davies Bouldin Index. Cluster 1 terdiri dari 3 provinsi, cluster
2 terdiri dari 4 provinsi, cluster 3 yang terdiri 3 provinsi, cluster 4 yang terdiri 1
provinsi, cluster 5 yang terdiri 1 provinsi, cluster 6 yang terdiri 1 provinsi, cluster 7
yang terdiri 1 provinsi, cluster 8 yang terdiri 15 provinsi, dan cluster 9 yang terdiri 4
provinsi. Jumlah anggota pada tiap cluster dipengaruhi oleh jarak antara pusat cluster
dan kemiripan data terhadap pusat cluster pada saat clustering.",https://drive.google.com/file/d/106RHui0ag7FKRzdaKnjGLGnB6jEj2nSI/view?usp=sharing,"produktivitas pangan , clustering, fuzzy c-means, davies bouldin index."
raymas arya sena m.ubarak,analisa kemiripan judul skripsi dengan algoritma winnowing program studi teknik informatika universitas muhammadiyah jember,2021,"Judul skripsi merupakan hal utama yang diajukan oleh mahasiswa tingkat akhir ke
dosen pembimbing untuk memulai menulis karya ilmiah sebagai syarat kelulusan. Namun
selama ini dosen pembing masih belum bisa memastikan bahwa judul yang diajukan sama atau
tidak pada penelitian sebulumnya, jadi untuk menangani itu dibutuhkan sebuah system analisan
kemiripan judul skripsi dengan algoritma winnowing . Algoritma winnowing merupakan
algoritma yang digunakan dalam deteksi kesamaan text menggunakan fungsi hashing ,
fingerprinting dan window dalam proses kerjanya. Sehinggan Ketika diterapkan pada judul
skripsi sebelumnya judul skripsi diambil dari Angkatan 2013 sampai 2018 akan terlihat
kesamaan persentase antara 1-100% sehingga dosen pembimbing bisa memilih judul skripsi
yang diajukan mahasiswa diterima atau ditolak Ketika sudah melihat hasil proses dari
winnowing.",https://drive.google.com/file/d/1BGQ8jVRBoh5pW2zwb8rAohVaK3_J-9ag/view?usp=sharing,"anlisa, winnowing, kemiripan judul skripsi."
"fikril mubarok","pengelompokkan provinsi di indonesia berdasarkan kabupaten/kota yang memiliki sarana kesehatan
menggunakan algoritma partitioning around medoid dengan metode davies bouldin index",2021,"Sarana kesehatan merupakan sarana utama dalam pemenuhan kebutuhan
masyarakat akan kesehatan di setiap daerah, untuk itu sarana kesehatan harus
terletak pada posisi yang stategis dan tersebar merata diseluruh daerah. Jumlah
penduduk di Indonesia yang tersebar di 34 provinsi yang mencapai 267,7 juta jiwa
berdasarkan badan pusat statistik nasional pada tahun 2018 yang tentunya
membutuhkan pelayanan kesehatan yang memadai, pelayanan kesehatan dapat
dilihat dari ketersediaan sarana pelayanan yang tersedia di masing - masing
wilayah. Permasalahan tersebut membuat pemerataan sarana kesehatan belum
maksimal sehingga masih menjadi kendala besar bagi dunia kesehatan di Indonesia.
Pada penelitian ini membahas tentang pengelompokkan provinsi di Indonesia
berdasarkan kabupaten/kota yang memiliki sarana kesehatan menggunakan
algoritma Partitioning Around Medoids (PAM) dengan metode Davies Bouldin
Index, diperoleh cluster terbaik dengan hasil 2 cluster berdasarkan validasi Davies
Bouldin Index sebesar 0,428 dengan skenario 2 cluster sampai 10 cluster. Dan
jumlah anggota pada masing – masing cluster yaitu cluster 1 terdapat 31 provinsi
dan cluster 2 terdapat 3 provinsi.",https://drive.google.com/file/d/1xkV82HHWzjQGXA_CGUW0YHlUL-ZzLmlT/view?usp=sharing,"sarana kesehatan, clustering, partitioning around medoids (pam), davies bouldin index."
muchammad idhar m.a,implementasi metode multi attributive borderapproximation area comparison (mabac) untuk penilaian desa,2021,"Kegiatan pelaksanaan penilaian desa terbaik harus dilakukan dengan terbuka
dan kompetitif meskipun jumlah data yang dimasukan relatif banyak tetapi
keakuratan perhitungan serta laporan dapat dicapai semaksimal mungkin dan
dengan efisiensi waktu dalam pengerjaan penyelesaian suatu laporan harus lebih
baik. MABAC adalah salah satu metode pendukung keputusan yang jenis
keputusannya multi alternative, metode ini dapat membantu proses pengambilan
keputusan pemilihan bantuan rastra dengan optimal. MABAC merupakan metode
perbandingan multikriteria. Metode ini dipilih karena, metode ini menyediakan
stabil (konsisten) solusi dan handal untuk pengambilan keputusan rasional,
dibandingkan dengan metode lain multi-kriteria pengambilan keputusan (SAW,
COPRAS, Moora, TOPSIS dan VI-KOR). Dari hasil implementasi metode Multi-
Attributive Border Approximation Area Comparison (MABAC) yang sudah
dijelaskan pada bab sebelumnya maka metode ini dapat digunakan dalam
pemilihan desa terbaik. Dari hasil pengujian dengan menggunakan data 207
diperoleh nilai tingkat akurasi senilai 89%.",https://drive.google.com/file/d/1hBUui6p7BnXWzVMkLW6NxoOpYtEnpmjZ/view?usp=sharing,"penilaian desa, mabac."
muhammad laili,klasifikasi diagnosa gagal ginjal kronismenggunakan algoritma decision tree iterative dichotomiser 3 (id3),2021,"Algoritma ID3 adalah algoritma data mining dengan mencari hasil klasifikasi
menggunakan sebuah pohon keputusan pada penelitian ini meneliti data pasien
yang terkena penyakit gagal ginjal kronis menggunakan sebuah pohon keputusan
Tujuan dari penelitian ini adalah menerapkan algoritma id3 untuk mengetahui
hasil klasifikasi data pasien yang terdampak penyakit gagal ginjal kronis pada
RSUD Koesnadi Bondowoso Hasil dari penelitian ini adalah diperoleh nilai
akurasi sebesar 80% dan nilai presisi sebesar 72,72% data diuji menggunakan
beberapa fold dengan 5 skenario uji.",https://drive.google.com/file/d/1umHUvPJPvgSPBaINKrvIxB6RDvnlHjWb/view?usp=sharing,"kunci: gagal ginjal kronis, algoritma decision tree."
